video_id,title,published_at,category,language,duration_seconds,views,likes,comments,shares,sentiment_score,region,ads_enabled,watch_time_hours,estimated_revenue_usd,subscribers_gained
v0001,North America SQL Playbook #1,2024-01-01,Education,English,765,121587,9340,557,665,0.75,North America,True,7708.4,523.48,336
v0002,North America AI Systems #2,2024-01-02,Technology,English,584,354064,16766,5086,2974,0.84,North America,True,19224.4,2087.7,698
v0003,North America Boardroom Brief #3,2024-01-03,Business,English,895,164238,10343,2231,1338,0.86,North America,False,17971.7,535.56,381
v0004,North America Budget Watch #4,2024-01-04,Finance,Spanish,508,291524,10553,1850,1258,0.73,North America,False,12848.9,411.94,394
v0005,North America Launch Meta #5,2024-01-05,Gaming,Spanish,739,417800,28279,5032,1011,0.81,North America,True,40120.4,2826.96,775
v0006,North America Studio Reset #6,2024-01-06,Lifestyle,Spanish,644,293553,13208,1145,1334,0.71,North America,True,19165.7,1246.33,1262
v0007,Europe Growth Workshop #7,2024-01-07,Education,French,884,156573,7314,1030,1046,0.81,Europe,True,13978.2,1121.03,648
v0008,Europe Next.js Review #8,2024-01-08,Technology,German,730,195785,8160,2350,1368,0.78,Europe,True,15790.4,1419.04,516
v0009,Europe Revenue Pulse #9,2024-01-09,Business,German,635,261664,16946,1280,1460,0.78,Europe,False,19248.4,840.65,1063
v0010,Europe Investor Lens #10,2024-01-10,Finance,German,780,212614,15818,2093,750,0.82,Europe,False,18182.2,262.63,922
v0011,Europe Creator Challenge #11,2024-01-11,Gaming,French,919,329340,26773,4473,1278,0.78,Europe,False,30051.5,740.4,420
v0012,Europe Weekly Upgrade #12,2024-01-12,Lifestyle,French,402,286903,13404,4132,1572,0.81,Europe,True,11190.8,1952.81,1019
v0013,Asia SQL Playbook #13,2024-01-13,Education,English,614,136833,7617,902,322,0.93,Asia,True,6905.4,946.96,418
v0014,Asia AI Systems #14,2024-01-14,Technology,English,870,281050,10511,1819,2141,0.74,Asia,True,23771.2,1020.78,1201
v0015,Asia Boardroom Brief #15,2024-01-15,Business,Japanese,679,152986,10040,1212,822,0.8,Asia,True,15347.2,462.41,502
v0016,Asia Budget Watch #16,2024-01-16,Finance,Japanese,713,172371,7434,1569,942,0.74,Asia,True,12562.9,784.03,729
v0017,Asia Launch Meta #17,2024-01-17,Gaming,Hindi,888,454804,31914,2935,2426,0.74,Asia,False,47654.0,1359.94,1891
v0018,Asia Studio Reset #18,2024-01-18,Lifestyle,English,295,416966,34099,4356,3356,0.87,Asia,True,11389.7,2049.1,1830
v0019,Latin America Growth Workshop #19,2024-01-19,Education,Spanish,564,58327,2423,904,145,0.84,Latin America,True,3125.4,422.36,196
v0020,Latin America Next.js Review #20,2024-01-20,Technology,Spanish,662,342931,13009,4018,2303,0.8,Latin America,True,23873.9,1589.13,1146
v0021,Latin America Revenue Pulse #21,2024-01-21,Business,Portuguese,690,119347,8364,525,690,0.84,Latin America,True,13028.8,1237.57,149
v0022,Latin America Investor Lens #22,2024-01-22,Finance,Spanish,734,91676,4371,823,598,0.79,Latin America,True,7003.9,941.88,350
v0023,Latin America Creator Challenge #23,2024-01-23,Gaming,Spanish,1019,430955,20123,6301,3559,0.81,Latin America,True,40684.8,2067.59,748
v0024,Latin America Weekly Upgrade #24,2024-01-24,Lifestyle,Portuguese,301,233317,17408,1085,1279,0.81,Latin America,True,7168.6,613.08,863
v0025,Middle East SQL Playbook #25,2024-01-25,Education,English,730,99807,7920,1211,309,0.83,Middle East,True,6073.4,546.93,292
v0026,Middle East AI Systems #26,2024-01-26,Technology,English,690,237307,16954,3453,1266,0.84,Middle East,True,21094.7,903.08,1009
v0027,Middle East Boardroom Brief #27,2024-01-27,Business,Arabic,732,188046,14265,2676,702,0.76,Middle East,False,19830.9,372.5,388
v0028,Middle East Budget Watch #28,2024-01-28,Finance,Arabic,652,153088,10887,1207,954,0.79,Middle East,True,13315.8,1405.43,330
